City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kruisfontein,-34.0033,24.7314,78.89,44,0,10.47,ZA,1644133061
Coyhaique,-45.5752,-72.0662,49.95,87,0,0.0,CL,1644133062
Nouakchott,18.0858,-15.9785,62.53,40,0,11.05,MR,1644133062
Arraial do Cabo,-22.9661,-42.0278,75.15,90,45,22.03,BR,1644133063
Verkhoyansk,67.5447,133.385,-40.83,100,92,0.92,RU,1644133063
Camacha,33.0833,-16.3333,60.53,77,40,17.27,PT,1644132543
Saint-Pierre,-21.3393,55.4781,85.68,66,0,10.36,RE,1644133064
Narsaq,60.9167,-46.05,5.22,70,100,5.23,GL,1644133064
Chui,-33.6971,-53.4616,64.04,89,90,8.5,UY,1644133065
Marsá Maţrūḩ,31.3525,27.2453,57.56,56,0,12.75,EG,1644133065
Hermanus,-34.4187,19.2345,83.89,54,96,2.51,ZA,1644133065
São Raimundo Nonato,-9.0153,-42.6994,70.38,74,76,1.88,BR,1644133066
Ponta Delgada,37.7333,-25.6667,60.49,82,20,14.97,PT,1644132789
Turukhansk,65.8167,87.9833,-4.97,96,99,2.01,RU,1644133067
Port Alfred,-33.5906,26.891,77.88,71,9,26.71,ZA,1644133067
Punta Arenas,-53.15,-70.9167,44.71,87,40,3.44,CL,1644132855
Upernavik,72.7868,-56.1549,-4.23,96,100,4.63,GL,1644133068
Khatanga,71.9667,102.5,-20.76,97,99,7.87,RU,1644132928
Mahibadhoo,3.7833,72.9667,81.9,67,60,12.17,MV,1644133068
Busselton,-33.65,115.3333,64.74,85,100,24.32,AU,1644133069
Vila Franca do Campo,37.7167,-25.4333,60.19,86,97,17.16,PT,1644133069
Hilo,19.7297,-155.09,70.79,92,75,6.91,US,1644133070
Vila,42.0304,-8.1588,36.34,82,23,4.81,PT,1644133070
Torbay,47.6666,-52.7314,25.57,92,100,39.12,CA,1644132929
Omsukchan,62.5333,155.8,-16.08,67,9,3.36,RU,1644133071
Nikolskoye,59.7035,30.7861,28.87,94,94,7.29,RU,1644132972
Ubinskoye,55.3068,79.6802,18.18,80,96,6.13,RU,1644133072
Starkville,33.4504,-88.8184,25.59,63,0,2.86,US,1644133072
Albany,42.6001,-73.9662,7.27,76,6,1.01,US,1644133073
At-Bashi,41.1702,75.8106,19.94,72,100,2.59,KG,1644133073
Klaksvík,62.2266,-6.589,34.72,61,100,25.41,FO,1644132867
Lebu,-37.6167,-73.65,56.41,92,3,13.78,CL,1644133075
Popondetta,-8.7537,148.2534,79.45,93,100,2.71,PG,1644133075
Severo-Kuril'sk,50.6789,156.125,27.95,83,100,20.04,RU,1644133076
Sakhnovshchyna,49.1517,35.872,29.19,92,63,10.0,UA,1644133076
Tiznit Province,29.5833,-9.5,59.99,23,13,5.88,MA,1644133076
Barrow,71.2906,-156.7887,-18.38,69,100,8.05,US,1644133077
Bredasdorp,-34.5322,20.0403,82.27,73,85,5.75,ZA,1644132962
Sladkovo,55.5284,70.3385,17.24,78,100,6.89,RU,1644133078
Guerrero Negro,27.9769,-114.0611,58.44,54,0,1.52,MX,1644132859
Tuktoyaktuk,69.4541,-133.0374,-19.32,99,100,9.84,CA,1644133079
Longyearbyen,78.2186,15.6401,17.44,67,75,19.57,SJ,1644133080
Qaanaaq,77.484,-69.3632,-3.17,98,100,4.38,GL,1644133080
Cap Malheureux,-19.9842,57.6142,84.69,74,100,11.99,MU,1644133081
Yellowknife,62.456,-114.3525,-17.88,69,0,9.22,CA,1644133040
New Norfolk,-42.7826,147.0587,69.91,41,2,1.99,AU,1644133082
Dikson,73.5069,80.5464,-23.24,100,100,5.08,RU,1644133082
São Filipe,14.8961,-24.4956,72.34,69,0,8.68,CV,1644133039
Butaritari,3.0707,172.7902,82.42,76,99,16.2,KI,1644132936
Bandarbeyla,9.4942,50.8122,79.07,60,14,10.83,SO,1644133083
Ahipara,-35.1667,173.1667,71.22,97,100,6.87,NZ,1644133084
Hobart,-42.8794,147.3294,70.27,56,20,1.99,AU,1644132808
Lüderitz,-26.6481,15.1594,69.22,78,46,3.11,NA,1644133084
Tonekābon,36.8163,50.8738,48.15,91,97,1.45,IR,1644133085
Half Moon Bay,37.4636,-122.4286,54.63,73,40,4.61,US,1644133085
Carson City,39.1638,-119.7674,41.47,61,0,0.0,US,1644133086
Kapaa,22.0752,-159.319,71.92,84,75,8.05,US,1644132896
Hithadhoo,-0.6,73.0833,82.72,72,9,10.92,MV,1644133087
Clyde River,70.4692,-68.5914,-36.17,67,0,3.44,CA,1644133087
Novikovo,51.1537,37.8879,31.05,95,98,10.78,RU,1644133088
Necochea,-38.5473,-58.7368,58.03,82,100,21.45,AR,1644133088
Dubbo,-32.25,148.6167,78.93,34,40,16.11,AU,1644133089
Baharly,38.4362,57.4316,44.67,56,91,14.83,TM,1644133090
Rikitea,-23.1203,-134.9692,79.02,71,33,17.43,PF,1644132926
Cockburn Town,21.4612,-71.1419,75.67,64,0,16.62,TC,1644132864
Xiongzhou,25.1167,114.3,53.73,77,100,2.08,CN,1644133091
Ushuaia,-54.8,-68.3,44.26,70,0,5.75,AR,1644132925
Poronaysk,49.2167,143.1167,17.96,77,100,17.16,RU,1644133092
Hasaki,35.7333,140.8333,45.28,34,99,14.99,JP,1644133093
Kletskaya,49.3145,43.0584,15.08,92,100,8.34,RU,1644133094
La Paz,-16.5,-68.15,46.38,100,75,6.91,BO,1644133047
Dhārchula,29.85,80.5333,61.68,35,1,5.64,IN,1644133094
Pochutla,15.7432,-96.4661,69.82,60,7,3.27,MX,1644133095
Mar del Plata,-38.0023,-57.5575,58.08,95,75,3.0,AR,1644132965
Pevek,69.7008,170.3133,-25.55,99,32,2.59,RU,1644133095
Praia,14.9215,-23.5087,68.54,77,0,14.97,CV,1644133096
Caravelas,-17.7125,-39.2481,73.85,93,97,3.04,BR,1644133096
Souillac,-20.5167,57.5167,84.58,74,75,18.41,MU,1644133097
Linjiang,41.8069,126.9078,15.53,75,100,5.79,CN,1644133097
Dokka,60.84,10.0618,19.47,89,10,3.96,NO,1644133098
Saint George,37.1041,-113.5841,40.24,36,0,3.0,US,1644132570
Inverell,-29.7833,151.1167,73.11,52,28,10.0,AU,1644133099
Jamestown,42.097,-79.2353,13.71,87,40,6.91,US,1644133099
Mataura,-46.1927,168.8643,52.48,70,1,3.29,NZ,1644133100
Cherskiy,68.75,161.3,-29.69,100,17,2.75,RU,1644133100
Asău,46.4333,26.4,40.95,54,27,9.91,RO,1644133101
Saint Paul Harbor,57.79,-152.4072,38.71,81,100,8.05,US,1644133101
Tuyen Quang,21.8233,105.2181,56.08,86,100,1.21,VN,1644133102
Bengkulu,-3.8004,102.2655,82.36,67,100,11.41,ID,1644133049
San Policarpo,12.1791,125.5072,81.77,69,12,16.93,PH,1644133103
Kjøllefjord,70.9457,27.3465,26.22,81,44,26.87,NO,1644133103
Ribeira Grande,38.5167,-28.7,57.6,82,20,14.97,PT,1644133104
Vao,-22.6667,167.4833,80.67,85,25,8.08,NC,1644132935
Yangi Marg`ilon,40.4272,71.7189,47.12,19,100,6.91,UZ,1644133104
Mount Gambier,-37.8333,140.7667,82.31,30,40,14.97,AU,1644133105
Tauragė,55.2522,22.2897,33.98,97,100,15.19,LT,1644133105
Faanui,-16.4833,-151.75,81.46,74,28,21.07,PF,1644133106
Coquimbo,-29.9533,-71.3436,60.53,94,75,3.44,CL,1644133030
Fortuna,40.5982,-124.1573,41.92,100,0,10.36,US,1644133106
Beyneu,45.3167,55.2,30.36,70,100,20.65,KZ,1644133107
Carutapera,-1.195,-46.02,75.15,94,100,5.7,BR,1644132888
Lebanon,36.2081,-86.2911,29.21,88,0,0.0,US,1644133107
Lompoc,34.6391,-120.4579,55.56,84,0,6.91,US,1644132977
Provideniya,64.3833,-173.3,-3.51,73,0,13.11,RU,1644133007
Kavaratti,10.5669,72.642,78.37,62,7,6.51,IN,1644133108
Ushtobe,45.2514,77.9838,30.67,61,0,6.38,KZ,1644133109
Grand Gaube,-20.0064,57.6608,84.6,74,100,11.99,MU,1644133109
Vaini,-21.2,-175.2,73.56,100,100,13.8,TO,1644133110
Henties Bay,-22.116,14.2845,67.86,77,84,4.56,NA,1644133111
Nemuro,43.3236,145.575,25.23,67,82,22.57,JP,1644133111
Tarauacá,-8.1614,-70.7656,72.46,96,100,0.76,BR,1644133112
Carnarvon,-24.8667,113.6333,84.27,61,8,23.02,AU,1644133112
Acaraú,-2.8856,-40.12,77.41,85,93,8.16,BR,1644133113
Richards Bay,-28.783,32.0377,77.58,79,5,11.01,ZA,1644133113
Saint-Philippe,-21.3585,55.7679,85.59,78,100,20.54,RE,1644133114
Biak,-0.9131,122.8766,83.08,73,86,0.36,ID,1644133114
Seydi,39.4816,62.9137,42.78,61,100,18.86,TM,1644133115
Gijang,35.2442,129.2139,42.53,41,100,14.09,KR,1644133116
Mahébourg,-20.4081,57.7,84.49,74,75,18.41,MU,1644133116
Bluff,-46.6,168.3333,52.81,64,0,9.73,NZ,1644133117
Woodward,36.4337,-99.3904,29.32,81,0,9.22,US,1644133013
Nelson Bay,-32.7167,152.15,73.45,64,97,4.0,AU,1644133118
Sterling,39.0062,-77.4286,25.16,77,0,0.0,US,1644133055
Nishihara,26.1842,127.7558,62.65,51,75,11.5,JP,1644133119
Castro,-24.7911,-50.0119,61.27,98,77,4.59,BR,1644133086
Atuona,-9.8,-139.0333,78.98,77,3,22.88,PF,1644133119
Ponta do Sol,32.6667,-17.1,65.12,53,41,14.0,PT,1644133120
Oriximiná,-1.7656,-55.8661,72.95,96,100,2.82,BR,1644133102
Paamiut,61.994,-49.6678,-0.02,85,100,5.55,GL,1644133120
Emerald,-23.5333,148.1667,87.94,30,40,9.22,AU,1644133121
George Town,5.4112,100.3354,89.55,65,20,7.0,MY,1644133088
Chapais,49.7834,-74.8492,-27.62,100,99,3.6,CA,1644133121
Vostok,46.4856,135.8833,-1.35,98,100,4.25,RU,1644133122
Tiksi,71.6872,128.8694,-22.25,99,100,5.06,RU,1644133122
Kuvshinovo,57.0295,34.1725,21.83,95,100,4.0,RU,1644133123
Taoudenni,22.6783,-3.9836,63.63,14,92,8.81,ML,1644133123
Saldanha,-33.0117,17.9442,75.25,56,81,9.98,ZA,1644133124
Altea,38.5989,-0.0514,55.92,77,100,4.72,ES,1644133124
Mossamedes,-15.1961,12.1522,76.87,53,90,6.4,AO,1644133125
Oodweyne,9.4092,45.064,81.21,26,79,4.81,SO,1644133125
Cape Town,-33.9258,18.4232,84.11,46,0,5.75,ZA,1644132901
Tazmalt,36.3868,4.3989,49.69,87,40,4.9,DZ,1644133126
Narasannapeta,18.4167,84.05,79.11,45,26,8.05,IN,1644133126
Novodugino,55.6305,34.2842,28.15,95,100,7.74,RU,1644133127
Smoky Lake,54.1169,-112.4686,30.49,93,98,4.61,CA,1644133127
Chicama,-7.8447,-79.1469,64.94,86,82,4.14,PE,1644133128
Balkanabat,39.5108,54.3671,41.92,67,35,12.15,TM,1644133128
Iqaluit,63.7506,-68.5145,-34.31,73,0,3.0,CA,1644133129
Emilio Carranza,19.9711,-96.6114,52.7,74,22,4.72,MX,1644133129
Huarmey,-10.0681,-78.1522,69.73,86,100,6.91,PE,1644133130
Puerto Ayora,-0.7393,-90.3518,74.55,93,62,5.01,EC,1644133130
Katsuura,35.1333,140.3,44.11,38,37,6.71,JP,1644133131
Ardakān,32.31,54.0175,55.78,17,0,0.87,IR,1644133131
Road Town,18.4167,-64.6167,72.0,78,75,21.68,VG,1644133047
La Ronge,55.1001,-105.2842,-3.75,77,100,1.14,CA,1644132952
Calama,-22.4667,-68.9333,45.09,33,0,12.66,CL,1644133133
Aleksandrov Gay,50.147,48.5704,17.4,95,95,9.48,RU,1644133133
Cururupu,-1.8283,-44.8683,73.35,98,99,2.57,BR,1644133134
Kupang,-10.1667,123.5833,83.52,76,90,10.98,ID,1644133134
Gualeguay,-33.1416,-59.3097,54.3,97,0,6.8,AR,1644133135
Novy Urengoy,66.0833,76.6333,-13.95,100,92,4.79,RU,1644133063
Mariel,22.9875,-82.7536,62.74,80,98,7.52,CU,1644133135
Chokurdakh,70.6333,147.9167,-35.61,100,100,2.04,RU,1644133003
Bambous Virieux,-20.3428,57.7575,84.45,74,75,18.41,MU,1644133136
Malakal,9.5334,31.6605,78.66,11,9,14.34,SS,1644133137
Nouadhibou,20.931,-17.0347,62.58,94,75,9.22,MR,1644133041
Tuatapere,-46.1333,167.6833,52.83,73,0,4.54,NZ,1644133138
Karratha,-20.7377,116.8463,92.3,54,13,16.73,AU,1644133139
Uporovo,56.3109,66.2693,20.37,79,100,5.79,RU,1644133139
Chumphon,10.3333,98.8333,87.91,49,79,8.88,TH,1644133140
Tasiilaq,65.6145,-37.6368,10.56,63,100,7.63,GL,1644133129
Toropets,56.4978,31.6353,30.76,94,100,7.29,RU,1644133141
Potchefstroom,-26.7167,27.1,72.54,54,16,10.63,ZA,1644133141
Airai,-8.9266,125.4092,69.93,79,80,2.44,TL,1644133141
Imbituba,-28.24,-48.6703,75.09,93,100,4.61,BR,1644133142
Ixtapa,20.7,-105.2,64.24,81,39,2.44,MX,1644133049
Tauranga,-37.6861,176.1667,66.92,93,100,1.99,NZ,1644133143
Lethem,3.3803,-59.7968,74.08,89,100,9.19,GY,1644133143
Bonthe,7.5264,-12.505,74.48,91,84,3.85,SL,1644132894
Mukhtolovo,55.4644,43.1953,12.2,92,96,4.32,RU,1644133144
Hofn,64.2539,-15.2082,31.82,67,99,17.45,IS,1644133144
Winnemucca,40.973,-117.7357,24.85,68,0,4.61,US,1644133145
Sept-Îles,50.2001,-66.3821,-0.94,55,0,8.01,CA,1644132905
Los Alamos,35.8881,-106.307,26.04,68,0,4.61,US,1644132958
Calvinia,-31.4707,19.776,85.01,23,89,9.55,ZA,1644133146
Pisco,-13.7,-76.2167,65.01,94,0,2.3,PE,1644133146
Shaunavon,49.6501,-108.4181,26.38,82,30,12.06,CA,1644133147
Ilulissat,69.2167,-51.1,1.42,42,100,13.8,GL,1644133005
Quatre Cocos,-20.2078,57.7625,84.31,76,100,15.32,MU,1644133148
Luanda,-8.8368,13.2343,77.0,78,40,6.91,AO,1644133094
Avarua,-21.2078,-159.775,77.05,83,75,8.05,CK,1644133148
Neuquén,-38.9516,-68.0591,62.49,59,0,4.61,AR,1644133149
Taltal,-25.4,-70.4833,65.39,84,18,1.28,CL,1644133149
Kumbo,6.2,10.6667,70.5,22,9,4.92,CM,1644133150
Kamenka,51.3223,42.7678,12.74,97,100,5.84,RU,1644133151
Gonaïves,19.45,-72.6833,70.14,86,6,7.14,HT,1644133151
Voh,-20.9667,164.7,77.29,94,100,1.81,NC,1644133152
Gannan,47.9147,123.5031,10.09,79,16,1.16,CN,1644133152
Rājāpur,25.3833,81.15,72.12,29,0,7.56,IN,1644133153
Khani,41.9563,42.9566,26.17,90,100,2.84,GE,1644133153
Nanortalik,60.1432,-45.2371,12.07,52,100,10.74,GL,1644133154
Karnobat,42.65,26.9833,42.64,78,12,3.02,BG,1644133155
Kandrian,-6.2167,149.55,84.85,72,100,14.05,PG,1644133155
Baruun-Urt,46.6806,113.2792,11.07,80,0,8.03,MN,1644133156
Gurupá,-1.405,-51.64,72.66,99,100,1.77,BR,1644133156
Hollins,37.3413,-79.9431,26.08,74,0,0.0,US,1644133157
Bathsheba,13.2167,-59.5167,75.81,83,40,9.22,BB,1644133157
Hong Kong,22.2855,114.1577,67.96,74,97,1.99,HK,1644133077
Mount Isa,-20.7333,139.5,92.97,24,75,4.61,AU,1644133158
Vardø,70.3705,31.1107,26.28,80,99,27.72,NO,1644133159
Salinópolis,-0.6136,-47.3561,77.4,88,99,8.59,BR,1644133159
Bethel,41.3712,-73.414,16.99,70,0,3.44,US,1644132964
Dosso,13.049,3.1937,68.14,17,0,16.11,NE,1644133160
Escanaba,45.7453,-87.0646,21.51,69,100,8.05,US,1644132939
Dingle,10.9995,122.6711,82.71,70,62,14.94,PH,1644133161
Port Macquarie,-31.4333,152.9167,71.56,67,70,15.41,AU,1644133034
Rio Verde de Mato Grosso,-18.9181,-54.8442,73.26,90,100,1.77,BR,1644133161
Nioro,13.35,-15.75,71.33,20,0,5.28,GM,1644133162
Birjand,32.8663,59.2211,48.67,34,0,4.61,IR,1644133162
Yerbogachën,61.2767,108.0108,11.17,94,100,5.32,RU,1644133163
Saint-François,46.4154,3.9054,40.41,91,100,8.05,FR,1644133164
Pangai,-19.8,-174.35,77.04,89,100,28.07,TO,1644133039
Namatanai,-3.6667,152.4333,82.26,74,97,9.13,PG,1644133164
Briançon,44.9,6.65,32.04,44,48,2.98,FR,1644133165
Fairbanks,64.8378,-147.7164,6.1,81,100,0.0,US,1644132914
Whitehorse,60.7161,-135.0538,29.17,94,100,18.01,CA,1644133038
Bay Roberts,47.5999,-53.2648,26.33,91,100,11.01,CA,1644133165
Safi,32.2994,-9.2372,55.51,87,64,14.7,MA,1644133166
Kralendijk,12.15,-68.2667,75.18,88,75,4.61,BQ,1644133167
Whitecourt,54.1502,-115.6855,38.48,64,59,14.18,CA,1644133130
Inverness,57.4791,-4.224,36.21,94,75,5.01,GB,1644133167
Russell,32.3502,-85.1999,35.38,77,0,4.99,US,1644133168
Nuristan,35.3,70.8333,17.94,92,100,7.81,AF,1644133168
Morón,-34.6534,-58.6198,58.75,87,11,7.99,AR,1644133169
Talnakh,69.4865,88.3972,-9.8,100,82,1.79,RU,1644133169
Punta Cardon,11.6581,-70.215,75.83,77,0,11.99,VE,1644133170
Port Hardy,50.6996,-127.4199,42.98,87,100,6.91,CA,1644133170
Aklavik,68.2191,-135.0107,-24.77,95,100,15.64,CA,1644133171
Betioky,-23.7167,44.3833,83.8,61,99,23.53,MG,1644133171
Thompson,55.7435,-97.8558,-27.24,75,0,4.61,CA,1644133172
Kathmandu,27.7167,85.3167,59.22,44,20,3.44,NP,1644132979
Adrar,20.5022,-10.0711,60.98,11,0,8.5,MR,1644133173
Esna,25.2934,32.554,59.47,40,0,8.57,EG,1644133173
Berlevåg,70.8578,29.0864,24.67,83,62,26.93,NO,1644133174
Zhigansk,66.7697,123.3711,-26.59,100,91,5.44,RU,1644133174
Clearwater,27.9659,-82.8001,55.92,90,100,5.01,US,1644132958
Tairua,-37.0167,175.85,67.08,99,100,3.42,NZ,1644133175
Yining,29.0361,114.5636,39.34,79,100,3.71,CN,1644133176
Lahaina,20.8783,-156.6825,74.8,85,10,8.72,US,1644133176
Cabo San Lucas,22.8909,-109.9124,65.52,74,35,7.83,MX,1644133176
Buchanan,5.8808,-10.0467,76.96,81,77,0.81,LR,1644133177
Porto Santo,33.072,-16.3415,63.3,77,40,17.27,PT,1644133178
Sitka,57.0531,-135.33,46.29,87,100,28.77,US,1644133178
Catuday,16.2923,119.8062,81.99,62,24,5.55,PH,1644133179
Palembang,-2.9167,104.7458,86.09,66,75,16.11,ID,1644133211
Ketchikan,55.3422,-131.6461,43.27,87,100,20.71,US,1644133254
Los Llanos de Aridane,28.6585,-17.9182,65.12,27,0,11.99,ES,1644133255
Hohhot,40.8106,111.6522,30.49,27,0,6.71,CN,1644133219
Kiryat Gat,31.61,34.7642,56.08,100,86,10.25,IL,1644133143
Grindavik,63.8424,-22.4338,31.95,74,40,24.16,IS,1644133085
Samoded,63.6083,40.5111,9.77,94,100,7.38,RU,1644133256
Khovd,48.0056,91.6419,-3.82,86,8,3.69,MN,1644133256
Avera,33.194,-82.5271,37.27,50,1,10.36,US,1644133257
Havelock,34.8791,-76.9013,34.95,78,10,1.99,US,1644133257
Broken Hill,-31.95,141.4333,83.91,21,40,20.71,AU,1644133258
Saint-Augustin,51.226,-58.6502,0.39,66,100,18.9,CA,1644133258
Nizhniy Tsasuchey,50.5167,115.1333,12.0,83,9,2.95,RU,1644133259
Hobyo,5.3505,48.5268,81.68,53,3,14.61,SO,1644133259
Port Elizabeth,-33.918,25.5701,81.1,83,20,16.11,ZA,1644133260
Arusha,-3.3667,36.6833,70.86,61,92,1.72,TZ,1644133260
San Ramon,37.7799,-121.978,53.85,69,0,3.44,US,1644133261
Ginir,7.1333,40.7,74.86,13,14,7.76,ET,1644133261
Saskylakh,71.9167,114.0833,-26.01,100,98,2.01,RU,1644133262
Chernyshevskiy,63.0128,112.4714,0.81,98,100,2.08,RU,1644133262
Jarosław,50.0162,22.6778,36.81,81,100,17.29,PL,1644133263
Lucan,53.3592,-6.4389,45.27,85,75,19.57,IE,1644133216
Assiut,27.181,31.1837,58.78,49,0,9.4,EG,1644133264
Port-Gentil,-0.7193,8.7815,80.56,89,40,4.61,GA,1644133265
Raudeberg,61.9875,5.1352,36.27,84,67,8.01,NO,1644133265
Rognan,67.0953,15.3878,32.14,84,100,10.09,NO,1644133266
Newport,51.5877,-2.9984,51.8,87,100,1.99,GB,1644133266
Tura,25.5198,90.2201,66.97,46,0,4.54,IN,1644133267
Rājgīr,25.0333,85.4167,68.49,51,3,6.44,IN,1644133267
Norman Wells,65.282,-126.8329,-18.36,69,75,2.3,CA,1644133268
Mehamn,71.0357,27.8492,23.13,87,50,19.6,NO,1644133268
Hamilton,39.1834,-84.5333,18.0,90,0,0.0,US,1644133269
Itarema,-2.9248,-39.9167,76.96,85,94,7.36,BR,1644132989
Caceres,39.522,-6.3748,37.8,80,0,6.35,ES,1644133270
Bismarck,46.8083,-100.7837,26.44,83,100,29.93,US,1644132989
Miraflores,19.2167,-98.8083,57.87,77,54,2.44,MX,1644133270
Sabang,5.8933,95.3214,81.97,76,58,13.96,ID,1644133271
Aberdeen,57.1437,-2.0981,36.5,75,100,9.22,GB,1644133271
San-Pédro,4.7485,-6.6363,79.3,82,26,2.35,CI,1644133272
